vertikal,kalem_id,kalem_adi,grup,birim,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
ev-kurma,tencere-seti,Tencere Seti,Mutfak,sabit,2210,3729,6828,1260,14999,112,4,amazon; karaca; madamecoco; trendyol,2026-08-05
ev-kurma,yemek-takimi,Yemek Takımı,Mutfak,sabit,1726,2620,3974,699,6899,67,2,amazon; trendyol,2026-08-02
ev-kurma,catal-kasik-bicak-takimi,Çatal-Kaşık-Bıçak Takımı,Mutfak,sabit,801,2022,5236,490,6999,55,2,amazon; trendyol,2026-08-02
ev-kurma,aydinlatma,Avize / Aydınlatma,Tekstil,sabit,424,1146,2168,152,3836,68,2,amazon; trendyol,2026-08-02
ev-kurma,bornoz,Bornoz,Tekstil,sabit,600,1063,1574,399,2350,69,2,amazon; trendyol,2026-08-02
ev-kurma,hali,Halı,Tekstil,sabit,848,1740,2104,160,3393,47,2,amazon; trendyol,2026-08-05
ev-kurma,havlu-takimi,Havlu Takımı,Tekstil,sabit,364,572,910,194,1637,66,2,amazon; trendyol,2026-08-02
ev-kurma,nevresim-takimi,Nevresim Takımı,Tekstil,sabit,525,759,2210,265,3600,108,3,amazon; englishhome; trendyol,2026-08-05
ev-kurma,perde,Perde,Tekstil,sabit,314,585,836,200,1337,46,2,amazon; trendyol,2026-08-02
ev-kurma,boy-aynasi,Boy Aynası,Yatak odası,sabit,1649,2900,5133,495,10345,52,2,amazon; trendyol,2026-08-05
ev-kurma,gardirop,Gardırop,Yatak odası,sabit,4534,6100,11224,1599,52805,78,3,amazon; dogtas; trendyol,2026-08-05
ev-kurma,karyola,Karyola / Baza,Yatak odası,sabit,3328,5024,7732,2143,12620,49,2,amazon; trendyol,2026-08-02
ev-kurma,komodin,Komodin,Yatak odası,sabit,794,1617,2768,479,4250,62,2,amazon; trendyol,2026-08-05
ev-kurma,yatak,Çift Kişilik Yatak,Yatak odası,sabit,1647,2284,3816,935,5900,66,2,amazon; trendyol,2026-08-05
ev-kurma,sifonyer,Şifonyer,Yatak odası,sabit,2296,4104,6976,1099,9990,61,2,amazon; trendyol,2026-08-02
