vertikal,kalem_id,kalem_adi,grup,birim,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
ev-kurma,su-isitici,Su Isıtıcı (Kettle),Küçük ev aleti,sabit,606,1222,2280,349,4974,74,2,amazon; trendyol,2026-07-26
ev-kurma,tost-makinesi,Tost Makinesi,Küçük ev aleti,sabit,1528,2688,4919,569,8649,79,2,amazon; trendyol,2026-07-26
ev-kurma,utu,Ütü,Küçük ev aleti,sabit,962,2510,5981,739,9999,66,2,amazon; trendyol,2026-07-26
ev-kurma,koltuk-takimi,Koltuk Takımı,Mobilya,sabit,15244,36652,45944,6599,65999,49,2,amazon; trendyol,2026-07-26
ev-kurma,konsol,Konsol,Mobilya,sabit,2780,5753,8164,2204,10183,61,2,amazon; trendyol,2026-07-26
ev-kurma,sehpa,Orta Sehpa,Mobilya,sabit,1281,2319,3540,799,8750,72,2,amazon; trendyol,2026-07-26
ev-kurma,tv-unitesi,TV Ünitesi,Mobilya,sabit,2768,5326,21628,1349,38249,50,2,amazon; trendyol,2026-07-26
ev-kurma,yemek-masasi,Yemek Odası Takımı,Mobilya,sabit,7910,17951,26474,3450,38990,58,2,amazon; trendyol,2026-07-26
ev-kurma,bardak-takimi,Bardak Takımı,Mutfak,sabit,223,362,575,122,1320,68,2,amazon; trendyol,2026-07-26
ev-kurma,kahvalti-takimi,Kahvaltı Takımı,Mutfak,sabit,695,1068,2273,300,3771,76,2,amazon; trendyol,2026-07-26
ev-kurma,tava-seti,Tava Seti,Mutfak,sabit,1136,1658,4010,294,4740,43,2,amazon; trendyol,2026-07-26
ev-kurma,tencere-seti,Tencere Seti,Mutfak,sabit,3084,5399,10962,1399,28000,119,4,amazon; karaca; madamecoco; trendyol,2026-07-26
ev-kurma,yemek-takimi,Yemek Takımı,Mutfak,sabit,1634,2384,4069,1000,4999,64,2,amazon; trendyol,2026-07-26
ev-kurma,catal-kasik-bicak-takimi,Çatal-Kaşık-Bıçak Takımı,Mutfak,sabit,1108,2860,5368,490,6949,60,2,amazon; trendyol,2026-07-26
ev-kurma,aydinlatma,Avize / Aydınlatma,Tekstil,sabit,571,1124,2275,157,3982,68,2,amazon; trendyol,2026-07-26
ev-kurma,bornoz,Bornoz,Tekstil,sabit,572,897,1340,372,2400,76,2,amazon; trendyol,2026-07-26
ev-kurma,hali,Halı,Tekstil,sabit,712,1369,3103,160,4228,49,2,amazon; trendyol,2026-07-26
ev-kurma,havlu-takimi,Havlu Takımı,Tekstil,sabit,357,607,1387,194,1650,79,2,amazon; trendyol,2026-07-26
ev-kurma,nevresim-takimi,Nevresim Takımı,Tekstil,sabit,550,999,1600,268,2990,122,3,amazon; englishhome; trendyol,2026-07-26
ev-kurma,perde,Perde,Tekstil,sabit,301,648,1487,126,1710,50,2,amazon; trendyol,2026-07-26
ev-kurma,boy-aynasi,Boy Aynası,Yatak odası,sabit,1696,2400,4542,1200,8812,57,2,amazon; trendyol,2026-07-26
ev-kurma,gardirop,Gardırop,Yatak odası,sabit,2915,5898,8909,965,13659,55,2,amazon; trendyol,2026-07-26
ev-kurma,karyola,Karyola / Baza,Yatak odası,sabit,3450,4966,7670,2051,12620,51,2,amazon; trendyol,2026-07-26
ev-kurma,komodin,Komodin,Yatak odası,sabit,738,1554,3074,479,4250,61,2,amazon; trendyol,2026-07-26
ev-kurma,yatak,Çift Kişilik Yatak,Yatak odası,sabit,1644,2308,3826,1000,5900,65,2,amazon; trendyol,2026-07-26
ev-kurma,sifonyer,Şifonyer,Yatak odası,sabit,2176,4050,5946,899,9990,58,2,amazon; trendyol,2026-07-26
